20201223,浦东,北蔡,满五唯一+精装带地暖+三房2卫+有车位+高区景观必看好房,1070万,3室2厅 | 119.33平米 | 南 北 | 精装 | 中楼层(共20层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zqJfQJijU_1.jpg.296x216.jpg
20201223,浦东,北蔡,大两房，南北通风，采光充足，房东诚意出售。,350万,2室2厅 | 80.44平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_zn2Nma7um_1.jpg.296x216.jpg
20201223,浦东,北蔡,2000年次新电梯商品房，距龙阳地铁830米（百度地图）房主自荐,670万,3室2厅 | 122.29平米 | 南 | 精装 | 低楼层(共16层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-a2095613-9126-4379-9da4-04687a02f26b.png.296x216.jpg
20201223,浦东,北蔡,一手动迁 满五唯一 13,18双轨交汇房主自荐,770万,3室2厅 | 128.73平米 | 南 | 简装 | 低楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_0TklHhZ4s_1.jpg.296x216.jpg
20201223,浦东,北蔡,中间楼层+南北通透+精装修+诚意出售,830万,3室2厅 | 127.95平米 | 南 北 | 精装 | 中楼层(共8层) | 1999年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_r6F7p5EMn_1.jpg.296x216.jpg
20201223,浦东,北蔡,非顶楼 小区央座 全明户型 诚意出售 户型正 一梯两户,485万,3室1厅 | 95.95平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hiPZGF2Qx_1.jpg.296x216.jpg
20201223,浦东,北蔡,满五年唯一，税费少，健身楼层，精装交付房主自荐,270万,2室1厅 | 59.67平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wzcfPxYOm_1.jpg.296x216.jpg
20201223,浦东,北蔡,莲溪大楼 2室1厅 南,400万,2室1厅 | 80.25平米 | 南 | 简装 | 低楼层(共18层) | 1995年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_N42uw1hog_1.jpg.296x216.jpg
20201223,浦东,北蔡,莲怡苑 2室1厅 南 北,660万,2室1厅 | 89.32平米 | 南 北 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZNczFHPW3_1.jpg.296x216.jpg
20201223,浦东,北蔡,近2、7龙阳路、芳华路地铁，税费少房东诚售楼层好,520万,3室2厅 | 107.44平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eu1R0yDmE_1.jpg.296x216.jpg
20201223,浦东,北蔡,首付只需80万，2003年次新房，精装修、满五年唯一。房主自荐,230万,1室1厅 | 46.28平米 | 南 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jxkmJb25d_1.jpg.296x216.jpg
20201223,浦东,北蔡,中环内+05年的商品房+次新房+房东置换+诚意出售。,315万,1室1厅 | 60.6平米 | 南 | 精装 | 中楼层(共7层) | 2005年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-a89c66e4-1716-4025-b19d-0153fc833bd5.png.296x216.jpg
20201223,浦东,北蔡,进地铁13/18满五年 楼间距宽 采光充足 配套设施齐全房主自荐,650万,4室2厅 | 87.67平米 | 南 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_B04LqrWik_1.jpg.296x216.jpg
20201223,浦东,北蔡,近龙阳路 视野开阔，采光充足，配套齐全，交通便利,270万,1室1厅 | 58.79平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IwrNqo8Mx_1.jpg.296x216.jpg
20201223,浦东,北蔡,精装修+满五年+龙阳CBD+四轨道+小区央座,220万,1室1厅 | 38.96平米 | 南 | 简装 | 中楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KAP4X6kgd_1.jpg.296x216.jpg
20201223,浦东,北蔡,此房只有契税，税费少，一梯两户得房率高，近地铁口！,265万,1室1厅 | 52.36平米 | 南 | 简装 | 高楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qxxcHVF86_1.jpg.296x216.jpg
20201223,浦东,北蔡,近地铁13/18号线房子满五年唯一，近地铁，诚意出售,578万,3室1厅 | 115.21平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-e2122b39-5707-4e62-b83a-a8ce1460bd0d.jpg.296x216.jpg
20201223,浦东,北蔡,龙阳路、芳华路地铁站边上、满五年、税费少，诚意出售房主自荐,320万,2室1厅 | 55.52平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RLKEafkbQ_1.jpg.296x216.jpg
20201223,浦东,北蔡,全明户型 中间楼层 02年小区 一手动迁,310万,1室1厅 | 50.49平米 | 南 北 | 简装 | 中楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_gwH9yUBJd_1.jpg.296x216.jpg
20201223,浦东,北蔡,小区中间位置，中间楼层两房，业主诚意出售房主自荐,292万,2室1厅 | 63.15平米 | 南 北 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_SnHZrrKgC_1.jpg.296x216.jpg
20201223,浦东,北蔡,楼层好，一梯两户，生活安静；户型方正、全明户型,549万,3室2厅 | 112.96平米 | 南 北 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_D0EnVi7xU_2.jpg.296x216.jpg
20201223,浦东,北蔡,近地铁，满五年唯一，婚房装修可拎包入住，全明东边套房主自荐,488万,3室1厅 | 95.95平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-b17932ae-f7b8-4b74-beae-c3010e81ae94.jpg.296x216.jpg
20201223,浦东,北蔡,动迁税少+婚房装修 客厅南北通透 拎包入住房主自荐,550万,3室1厅 | 96.34平米 | 南 北 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-d395a7cb-c671-4b10-8c3a-d8be769cd4ac.png.296x216.jpg
20201223,浦东,北蔡,双南大两房，通风好，采光足，业主已看好房诚意急售房主自荐,285万,2室1厅 | 66.42平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-b7d67b5f-070b-4530-a3d0-cea4aa3cad56.jpg.296x216.jpg
20201223,浦东,北蔡,双南户型，采光好 满五年 靠菜场房主自荐,330万,2室1厅 | 64.03平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_JS1ntLioi_1.jpg.296x216.jpg
20201223,浦东,北蔡,看看吧！这么好的房子不看就没了！！！房主自荐,430万,3室2厅 | 108.7平米 | 南 北 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-4ddab968-97b2-4f50-bff7-c48cd3369c86.jpg.296x216.jpg
20201223,浦东,北蔡,13及在建18号线地铁口+次新房+精装顶楼复式+满五唯一,445万,2室1厅 | 56平米 | 南 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-35c739ac-d4e9-43a6-8b3f-879772860bc5.jpg.296x216.jpg
20201223,浦东,北蔡,绿地集团商品房，满五年一梯两户，车位宽松采光充足房主自荐,470万,3室1厅 | 86.32平米 | 南 北 | 精装 | 低楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_7TGFSiU6P_2.jpg.296x216.jpg
20201223,浦东,北蔡,小区新出品质两房，户型方正，楼层适中，看房方便房主自荐,445万,2室2厅 | 77.28平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4Jiv6eENr_1.jpg.296x216.jpg
20201223,浦东,北蔡,此房满五唯一，南北通风，一楼带天井，产权清晰,300万,1室1厅 | 56.6平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_5YydNf7dv_1.jpg.296x216.jpg
20201223,浦东,北蔡,高层景观房 税费少 婚房装修 采光好,245万,1室1厅 | 48.75平米 | 南 | 精装 | 高楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_U59fyVgp3_1.jpg.296x216.jpg
20201223,浦东,北蔡,看房方便满五唯一交通便利诚意出售房主自荐,320万,1室1厅 | 59.98平米 | 南 北 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-98f36130-4880-4b34-aaa7-6a77c32032c2.jpg.296x216.jpg
20201223,浦东,北蔡,此房单价低总价低 签字方便 随时看房 房东诚售房主自荐,450万,3室1厅 | 89.91平米 | 南 北 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-a8ef5db8-7b50-4d5d-9d73-f8f528b3089b.png.296x216.jpg
20201223,浦东,北蔡,满五唯一，采光好，出门公交站，交通方便,248万,1室1厅 | 42.06平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KdOOsVErD_1.jpg.296x216.jpg
20201223,浦东,北蔡,一梯两户，中间楼层，位置安静，业主诚意，看房方便房主自荐,225万,1室0厅 | 37.38平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-c866c4a6-fab3-41b9-81ad-db4fe21ca985.png.296x216.jpg
20201223,浦东,北蔡,近地铁顶楼复式，户型方正，满五唯一，电梯房,900万,4室2厅 | 134.76平米 | 南 北 | 精装 | 高楼层(共12层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MQAL4LmMv_1.jpg.296x216.jpg
20201223,浦东,北蔡,精装带花园6房3卫，120平方地下室，有车位房主自荐,1280万,6室3厅 | 158.08平米 | 南 | 精装 | 低楼层(共20层) | 2008年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-68d867b1-ea7e-4bb9-917c-896318ea4bd6.jpg.296x216.jpg
20201223,浦东,北蔡,卧室朝南带阳台  交通便利  商圈配套齐全,240万,1室1厅 | 48.71平米 | 南 | 简装 | 高楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_H4u51r9dP_1.jpg.296x216.jpg
20201223,浦东,北蔡,满五年税少+一梯两户+边套户型全明+置换急售+无抵押房主自荐,286万,2室1厅 | 63.47平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jc4LKt2GB_1.jpg.296x216.jpg
20201223,浦东,北蔡,芳华路地铁口+诚意出售+二楼+看房方便+配套齐全,295万,2室1厅 | 55.16平米 | 南 | 毛坯 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cZ56T86dK_1.jpg.296x216.jpg
20201223,浦东,北蔡,安家中环内大一房，适合首套置业，诚意卖，价可刀房主自荐,205万,1室1厅 | 49.85平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sy4t2wnRl_1.jpg.296x216.jpg
20201223,浦东,北蔡,18/7双轨交通+近龙阳路+双南全明户型+诚意出售房主自荐,415万,2室2厅 | 83.86平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PDEAoPg7P_1.jpg.296x216.jpg
20201223,浦东,北蔡,落地窗+双阳台，小区中间位置，近小区花园,480万,2室1厅 | 84.21平米 | 南 | 精装 | 低楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_u4Sc9joZO_1.jpg.296x216.jpg
20201223,浦东,北蔡,满五唯一 芳华路地铁180米 不临马路 采光好精装入住,280万,1室1厅 | 46.5平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qboMrCOPL_1.jpg.296x216.jpg
20201223,浦东,北蔡,主卧都朝南，两个大阳台，几乎全明户型，空气流通。,500万,3室1厅 | 96.36平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_g7bSN5bym_1.jpg.296x216.jpg
20201223,浦东,北蔡,7号线芳华路地铁口，小区央座，双南东边套，带院子,360万,2室1厅 | 59.03平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bGIQ1wDYW_1.jpg.296x216.jpg
20201223,浦东,北蔡,满5唯1免个税！全明双南带阳台！客厅厨卫朝北！不靠路房主自荐,385万,2室1厅 | 77.02平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TXyswcJUm_1.jpg.296x216.jpg
20201223,浦东,北蔡,非顶层，一手动迁，采光好，出入方便,420万,2室1厅 | 69.7平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-455992b1-9016-4467-bf31-288ffa6b1bc8.jpg.296x216.jpg
20201223,浦东,北蔡,2011年婚房装修40万 保养很好 顶楼复式 楼上阁楼,680万,3室2厅 | 101平米 | 南 | 精装 | 高楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_ldVrYzIIo_1.jpg.296x216.jpg
20201223,浦东,北蔡,此房满五年，高楼层，客厅带窗户，产权清晰，采光好1,429万,2室2厅 | 79.11平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_h6ZkOWe1a_1.jpg.296x216.jpg
20201223,浦东,北蔡,税费各付，坐拥双规，全明户型，自住精装修，看房方便,980万,3室2厅 | 129.41平米 | 西 北 南 | 精装 | 中楼层(共5层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_APWAWSfxX_1.jpg.296x216.jpg
20201223,浦东,北蔡,别墅头一排，落地窗商品房，车位充足，享受新鲜空气,415万,3室1厅 | 83.6平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-0c3cb1c4-3ef3-45c5-8523-7039547dad99.jpg.296x216.jpg
20201223,浦东,北蔡,精装修，小区中间位置，安静，采光好,260万,1室1厅 | 39.66平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bZ5RpybLf_1.jpg.296x216.jpg
20201223,浦东,北蔡,次新房，近13号线，电梯高层，南北双阳台，自住精装修,680万,3室2厅 | 116.68平米 | 南 | 精装 | 11层 | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_F8CNThhIE_1.jpg.296x216.jpg
20201223,浦东,北蔡,景观房+采光好+户型正气+产权清晰+边套全明房主自荐,435万,3室1厅 | 85.88平米 | 南 | 简装 | 高楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-30445990-038e-4341-9dc3-10fea2723d2a.jpg.296x216.jpg
20201223,浦东,北蔡,陆家嘴品质住宅、次新房精装交付、视野开阔、户型方正,1380万,3室2厅 | 121.81平米 | 南 | 精装 | 低楼层(共24层) | 2016年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-226b0822-3ec7-48a7-bdc4-e4748f510804.jpg.296x216.jpg
20201223,浦东,北蔡,星河湾二期，浅色调装修，位置安静，诚意出售,3900万,4室2厅 | 357.84平米 | 南 | 精装 | 低楼层(共21层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9KpFY31LD_1.jpg.296x216.jpg
20201223,浦东,北蔡,双南两房，简装修全明，房东诚意出售,340万,2室1厅 | 72.94平米 | 南 | 其他 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FYItGp61Y_1.jpg.296x216.jpg
20201223,浦东,北蔡,主推：双轨交通+精装修过渡一房可拎包入住+采光无遮挡新上,205万,1室1厅 | 35.16平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_d0Di3cNj9_1.jpg.296x216.jpg
20201223,浦东,北蔡,满五唯一南北通户型  开发商统一装修  视野开阔新上,725万,2室2厅 | 81.72平米 | 东南 | 精装 | 中楼层(共18层) | 2013年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_SWSGqH0N0_1.jpg.296x216.jpg
20201223,浦东,北蔡,联勤小区 两房朝南一房朝北 大三房 全明 户型好,400万,3室2厅 | 87.77平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20170704/fbf81131-dca3-48d8-86ce-d601d378d30b.jpg.296x216.jpg
20201223,浦东,北蔡,此房无个税，13号线地铁口，精装全明朝南1房，采光好,590万,1室1厅 | 64.11平米 | 东南 | 精装 | 高楼层(共18层) | 2013年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/32727014-d6da-421b-9ad0-ce57d5bc7acb.jpg.296x216.jpg
20201223,浦东,北蔡,98年商品房复式 4房2卫 适合三代人居住,596万,4室2厅 | 140.8平米 | 南 | 其他 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20171002/fe99a4bf-cc66-4e5e-b879-24be50ee4f49.jpg.296x216.jpg
20201223,浦东,北蔡,2004年商品房小区，精装修，采光视野好，业主诚意出售,560万,2室2厅 | 98.65平米 | 南 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/310000-inspection/ab5f3fe1-8230-427a-94df-f54aba6d6025.jpg.296x216.jpg
20201223,浦东,北蔡,浦东星湾高楼层看泳池景色，采光好，屋况佳提包可住,3600万,4室3厅 | 282.62平米 | 南 | 精装 | 中楼层(共16层) | 2010年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20160407/67c4b404-652f-45d1-8d18-4e504627c429.jpg.296x216.jpg
20201223,浦东,北蔡,中间楼层  7、13号地铁 自住装修 诚心出售 商品房,1070万,3室2厅 | 170.6平米 | 南 | 简装 | 中楼层(共8层) | 1999年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20160920/f03c22bb-2681-4e24-8292-ecd5be639f25.jpg.296x216.jpg
20201223,浦东,北蔡,中环内独栋别墅，不需出国——尽享欧美风情房主自荐,1688万,5室2厅 | 214.91平米 | 南 | 简装 | 2层 | 2000年建 | 板楼 | 联排别墅,http://image1.ljcdn.com/310000-inspection/22e398ee-0762-4161-8382-7bd4e942828e.jpg.296x216.jpg
20201223,浦东,北蔡,带室内中庭花园+双车位+满五年唯一+南北双花园50平房主自荐,1900万,5室3厅 | 253.36平米 | 南 北 | 简装 | 3层 | 2007年建 | 板楼 | 双拼别墅,http://image1.ljcdn.com/110000-inspection/b9f11cc0-a03a-4c34-aee1-15e3e24fbead.jpg.296x216.jpg
20201223,浦东,北蔡,精装修 双拼别墅 位置安静 地铁13号线 人车分流诚售,3600万,6室2厅 | 417.58平米 | 南 北 | 精装 | 2层 | 2010年建 | 板楼 | 双拼别墅,http://image1.ljcdn.com/110000-inspection/0f359c521407107b8ee9d4079c694af7-064.jpg.296x216.jpg
20201223,浦东,北蔡,中环内 独栋别墅，无改动，无违章，小区中间位置房主自荐,1825万,6室2厅 | 214.91平米 | 南 | 精装 | 2层 | 2000年建 | 板楼 | 联排别墅,http://image1.ljcdn.com/shfdfs-image/20151005/d4402f1e-63d1-4798-aaca-dec3be87a213.jpg.296x216.jpg
20201223,浦东,北蔡,精装修顶楼双层复式+有车位+采光好,1400万,4室2厅 | 171.72平米 | 南 北 | 精装 | 高楼层(共13层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2fc90b3a6a034cafd2e5b1b2e439fc0e-036.jpg.296x216.jpg
20201223,浦东,北蔡,小区央座+满五唯一+浅色系全新装修房主自荐,6480万,5室2厅 | 684.18平米 | 南 北 | 精装 | 低楼层(共18层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/55532f534c56f6fbb40c2f732888974f-034.jpg.296x216.jpg
20201223,浦东,北蔡,看房有钥匙+东边套别墅+客厅挑空+地铁口+人车分流,4000万,5室2厅 | 646.27平米 | 南 北 | 精装 | 4层 | 2014年建 | 板楼 | 联排别墅,http://image1.ljcdn.com/310000-inspection/586751e3-ada4-4387-b7b1-c6250d1f7258.jpg.296x216.jpg
20201223,浦东,北蔡,电梯两房 出行方便  双轨地铁  生活配套齐全房主自荐,690万,2室2厅 | 107.22平米 | 南 | 简装 | 低楼层(共11层) | 2003年建 | 板楼,http://image1.ljcdn.com/310000-inspection/d61948d0-cb4b-4ac9-9930-c88328b62e01.jpg.296x216.jpg
20201223,浦东,北蔡,04年商品房 顶楼复式 房东自住装修  一梯两户房主自荐,610万,4室2厅 | 92.37平米 | 南 北 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7f8dc184-5334-4add-9a31-9b31cd341cfb.jpg.296x216.jpg
20201223,浦东,北蔡,中环内独栋别墅，超大花园，尽享私人空间。,2200万,5室2厅 | 201.82平米 | 南 | 毛坯 | 2层 | 2000年建 | 板楼 | 联排别墅,http://image1.ljcdn.com/110000-inspection/a166f79f-9c5c-4316-8952-79c19a053023.jpg.296x216.jpg
20201223,浦东,北蔡,中高楼层，视野采光无忧，双开间朝南，南北通户型方正,880万,2室2厅 | 108.77平米 | 南 | 精装 | 高楼层(共18层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/819dba5a36e4390cabb2f2f97cc015b3-082.jpg.296x216.jpg
20201223,浦东,北蔡,满五唯一，税费少，没有户口，没有抵押,480万,3室1厅 | 96平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/5ce26eefffdca3bbc43593c6cfe4a85b-070.jpg.296x216.jpg
20201223,浦东,北蔡,多层复式，三层，自住装修保养,顶层平顶,1150万,4室2厅 | 161.85平米 | 南 | 精装 | 高楼层(共7层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/cd34d8e6-2b29-4de5-8fc4-9917c4205165.jpg.296x216.jpg
20201223,浦东,北蔡,15年次新双拼 小区中间位置 诚意出售 看房提前预约,4300万,5室3厅 | 421.57平米 | 南 | 精装 | 低楼层(共1层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/88ab47aa-737c-4046-9b23-9009212be6b3.jpg.296x216.jpg
20201223,浦东,北蔡,满五年3/1唯一+南北户型+视野充足+采光通风噪音无影响,590万,2室2厅 | 92.38平米 | 南 | 简装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/86096838f155a7daf49184bd48e0d0be-018.jpg.296x216.jpg
20201223,浦东,北蔡,顶楼复式别墅居住体验,大露台，三代同堂，互不干扰。,830万,4室3厅 | 174.78平米 | 南 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/310000-inspection/0ea406b3-3667-401b-b35b-520a529fd433.jpg.296x216.jpg
20201223,浦东,北蔡,动迁，满五唯一，18号线地铁口。新上,272万,1室1厅 | 45.91平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/9b3c9f1b-b4a3-48c9-a89d-d71205e80f73.png.296x216.jpg
20201223,浦东,北蔡,近地铁电梯两房，非底楼，南北户型，良好居住体验新上,550万,2室2厅 | 85.83平米 | 南 | 毛坯 | 16层 | 2010年建 | 板楼,
20201223,浦东,北蔡,一手动迁！满五唯一！中间楼层！双南！全明！近地铁！新上,270万,1室1厅 | 45.75平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,
20201223,浦东,北蔡,由由六村 2室1厅 南新上,285万,2室1厅 | 46.42平米 | 南 | 简装 | 中楼层(共7层) | 1995年建 | 板楼,
20201223,浦东,北蔡,海上二期13/7双轨出行，开发商统一精装修,315万,2室1厅 | 68.57平米 | 南 | 精装 | 中楼层(共11层) | 2008年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-63b0ecef-3e57-4ff7-ac47-af46fb59272d.png.296x216.jpg
20201223,浦东,北蔡,满五唯一，三开间朝南，双轨交汇，3TX＋Z房主自荐,518万,3室2厅 | 99平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/de8fbdf5-420d-4e0f-90f7-ec819db4eb88.jpg.296x216.jpg
20201223,浦东,北蔡,2000年商品房，精装修，满五唯一，税费少房主自荐,450万,2室2厅 | 81.89平米 | 南 | 精装 | 中楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/00c51e4b1bf8b1da47ffb38e4efe1660-022.jpg.296x216.jpg
20201223,浦东,北蔡,浦东星河湾平墅大宅，沿河位置，层高4.5震撼发售,7500万,6室3厅 | 814.14平米 | 南 | 精装 | 低楼层(共18层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d36b911c3f88aac1248d59bb177800cf-055.jpg.296x216.jpg
20201223,浦东,北蔡,新出不靠路大三房，到价能签字，报价含产权车位,1200万,3室2厅 | 134.71平米 | 南 北 | 精装 | 中楼层(共16层) | 2004年建 | 板楼,
20201223,浦东,北蔡,飞机户型双阳台+满五年唯一+车位充足+楼间距宽采光好,530万,3室2厅 | 108.53平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,
20201223,浦东,北蔡,金顺一房，动迁房，免增值税，全南户型,360万,1室1厅 | 44.28平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/fce9579fd70e06d8824b26f7d5c75f0b-008.jpg.296x216.jpg
20201223,浦东,北蔡,南北户型，一手动迁免征增值税，视野采光好，精装修房主自荐,635万,2室2厅 | 101.96平米 | 南 | 简装 | 低楼层(共11层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1c5834e7a2d7c63344c776e3f8515468-076.jpg.296x216.jpg
20201223,浦东,北蔡,由由七村 小区央座前后无遮挡 精装修保养和 地铁方便,460万,2室1厅 | 66.34平米 | 南 北 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b9f0c0b6-1ccd-4561-a1ec-989225545f70.jpg.296x216.jpg
20201223,浦东,北蔡,300平米空中别墅，全南户型，品质豪.装全配，带车位房主自荐,1800万,4室2厅 | 160.82平米 | 南 北 | 精装 | 高楼层(共20层) | 2012年建 | 板楼,http://image1.ljcdn.com/310000-inspection/f0af0cc3-2f04-4b87-8826-f954443f7bd2.jpg.296x216.jpg
20201223,浦东,北蔡,绿川新苑 2室2厅 南新上,498万,2室2厅 | 87.38平米 | 南 | 简装 | 低楼层(共7层) | 2005年建 | 板楼,http://image1.ljcdn.com/x-se/310000-frame/b67a22ce-40f2-4b3f-a25c-832490b11d6d.jpg.296x216.jpg
20201223,浦东,北蔡,大华斐系联排别墅，从未入住相当于一手现房，带花园,2900万,4室3厅 | 255平米 | 南 | 精装 | 低楼层(共4层) | 2015年建 | 板楼,http://image1.ljcdn.com/310000-inspection/a66089f6-2f45-48d2-bccf-6868ffddef96.JPG.296x216.jpg
