20201223,嘉定,江桥,近地铁万达出行购物方便 业主诚心出售看中价格可谈必看好房,365万,2室2厅 | 73.2平米 | 南 北 | 简装 | 中楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c60a864a-bc80-4c0e-a118-9ea2b12f7d94_1000.jpg.296x216.jpg
20201223,嘉定,江桥,万达广场(嘉定) 1室0厅 北,96.5万,1室0厅 | 44.05平米 | 北 | 简装 | 高楼层(共11层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 南,125万,1室1厅 | 55.54平米 | 南 | 其他 | 高楼层(共11层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,MAX未来 2室2厅 南,170万,2室2厅 | 55.92平米 | 南 | 精装 | 高楼层(共8层) | 2015年建 | 板楼,
20201223,嘉定,江桥,MAX未来 1室1厅 北,108万,1室1厅 | 49.45平米 | 北 | 其他 | 高楼层(共9层) | 2015年建 | 板楼,
20201223,嘉定,江桥,MAX未来 5室2厅 西,158万,5室2厅 | 53平米 | 西 | 其他 | 中楼层(共9层) | 2015年建 | 板楼,
20201223,嘉定,江桥,MAX未来 1室1厅 东 北,150万,1室1厅 | 39.41平米 | 东 北 | 其他 | 高楼层(共8层) | 2015年建 | 板楼,
20201223,嘉定,江桥,近地铁 商 业配套成熟 房东诚心出售,115万,1室1厅 | 54.61平米 | 南 | 其他 | 低楼层(共12层) | 2011年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-8bdea4e6-cd82-45c4-92e6-b48474698041.png.296x216.jpg
20201223,嘉定,江桥,万达广场(嘉定) 1室0厅 南,125万,1室0厅 | 55.54平米 | 南 | 其他 | 高楼层(共11层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,MAX未来 2室2厅 西,165万,2室2厅 | 54.22平米 | 西 | 其他 | 高楼层(共9层) | 2015年建 | 板楼,
20201223,嘉定,江桥,MAX未来 2室1厅 东,153万,2室1厅 | 45.38平米 | 东 | 精装 | 中楼层(共9层) | 2015年建 | 板楼,
20201223,嘉定,江桥,嘉莲华商住酒店式公寓(商业类) 1室1厅 南,84万,1室1厅 | 47.3平米 | 南 | 精装 | 中楼层(共6层) | 2007年建 | 板楼,
20201223,嘉定,江桥,MAX未来 2室1厅 北,105万,2室1厅 | 35.5平米 | 北 | 简装 | 中楼层(共8层) | 2015年建 | 板楼,
20201223,嘉定,江桥,永和生活广场 2室1厅 西,160万,2室1厅 | 58.62平米 | 西 | 其他 | 中楼层(共11层) | 2008年建 | 塔楼,
20201223,嘉定,江桥,香馥湾酒店式公寓 2室2厅 南,290万,2室2厅 | 94.5平米 | 南 | 精装 | 中楼层(共11层)  | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-763805f0-155b-4e66-bf77-0859ea8debc6.png.296x216.jpg
20201223,嘉定,江桥,MAX未来 2室1厅 南房主自荐,150万,2室1厅 | 47.39平米 | 南 | 精装 | 中楼层(共8层) | 2015年建 | 板楼,
20201223,嘉定,江桥,YOHO街区 1室1厅 北,260万,1室1厅 | 48.32平米 | 北 | 其他 | 低楼层(共6层)  | 板楼,
20201223,嘉定,江桥,YOHO街区 1室1厅 南,88万,1室1厅 | 51.68平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,
20201223,嘉定,江桥,万达广场(嘉定) 2室1厅 南,270万,2室1厅 | 120.13平米 | 南 | 其他 | 低楼层(共12层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,MAX未来 2室0厅 南,168万,2室0厅 | 57平米 | 南 | 其他 | 低楼层(共9层) | 2015年建 | 板楼,
20201223,嘉定,江桥,YOHO街区 1室1厅 北,175万,1室1厅 | 52.52平米 | 北 | 其他 | 低楼层(共6层)  | 板楼,
20201223,嘉定,江桥,MAX未来 2室1厅 南,180万,2室1厅 | 55.91平米 | 南 | 精装 | 高楼层(共8层) | 2015年建 | 板楼,
20201223,嘉定,江桥,电梯房复式，精装修，买进价格高，税费少，诚意出售,120万,2室1厅 | 33.33平米 | 南 | 其他 | 低楼层(共9层) | 2015年建 | 板楼,
20201223,嘉定,江桥,江桥老街生活大院 1室1厅 西,120万,1室1厅 | 59.29平米 | 西 | 精装 | 高楼层(共11层) | 2013年建 | 板塔结合,
20201223,嘉定,江桥,近地铁，面积大，总价低，出行方便,125万,1室1厅 | 62.72平米 | 南 | 简装 | 高楼层(共10层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,HAO华装修，业主没怎么用过。一直空关。保养很好，,180万,2室2厅 | 51.9平米 | 南 | 精装 | 中楼层(共9层) | 2015年建 | 板楼,
20201223,嘉定,江桥,近地铁 商 业配套成熟  房东诚心出售,180万,2室1厅 | 57.54平米 | 北 西 | 精装 | 高楼层(共9层) | 2011年建 | 板楼,
20201223,嘉定,江桥,MAX未来 2室1厅 南,158万,2室1厅 | 47.04平米 | 南 | 简装 | 高楼层(共8层) | 2015年建 | 板楼,
20201223,嘉定,江桥,MAx未来，面积小，总价低，商圈成熟,93万,1室0厅 | 33平米 | 南 | 简装 | 高楼层(共9层) | 2015年建 | 板楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 南,125万,1室1厅 | 59.04平米 | 南 | 简装 | 中楼层(共11层) | 2011年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-94ae02fd-3383-49a2-aaca-dd00af33997d.png.296x216.jpg
20201223,嘉定,江桥,MAX未来 2室1厅 北房主自荐,135万,2室1厅 | 43.46平米 | 北 | 精装 | 高楼层(共9层) | 2015年建 | 板楼,
20201223,嘉定,江桥,MAX未来 1室2厅 南,150万,1室2厅 | 47平米 | 南 | 精装 | 高楼层(共8层) | 2015年建 | 板楼,
20201223,嘉定,江桥,永和生活广场 2室1厅 东南,140万,2室1厅 | 81.85平米 | 东南 | 其他 | 高楼层(共11层) | 2008年建 | 塔楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 南,260万,1室1厅 | 117.17平米 | 南 | 其他 | 中楼层(共12层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 南,140万,1室1厅 | 58.98平米 | 南 | 其他 | 低楼层(共11层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 北,99万,1室1厅 | 43.74平米 | 北 | 简装 | 高楼层(共12层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 北,106万,1室1厅 | 47.48平米 | 北 | 其他 | 高楼层(共12层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,永和生活广场 3室2厅 南,205万,3室2厅 | 95.59平米 | 南 | 其他 | 低楼层(共11层) | 2008年建 | 塔楼,
20201223,嘉定,江桥,上海电子商城 1室0厅,100万,1室0厅 | 35.76平米 | 暂无数据 | 其他 | 高楼层(共48层) | 2008年建 | 塔楼,
20201223,嘉定,江桥,MAX未来 2室1厅 西,230万,2室1厅 | 72平米 | 西 | 其他 | 中楼层(共8层) | 2015年建 | 板楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 南,210万,1室1厅 | 97.93平米 | 南 | 其他 | 中楼层(共12层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,YOHO街区 1室1厅 南,300万,1室1厅 | 51平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,
20201223,嘉定,江桥,MAX未来 4室1厅 西南,185万,4室1厅 | 71平米 | 西南 | 其他 | 中楼层(共8层) | 2015年建 | 板楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 北,105万,1室1厅 | 44.05平米 | 北 | 其他 | 中楼层(共11层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,万达广场(嘉定) 2室1厅 南,180万,2室1厅 | 59.04平米 | 南 | 其他 | 高楼层(共11层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,精装修，配套成熟，交通方便，看房方便，,150万,2室1厅 | 50平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 南,248万,1室1厅 | 116.83平米 | 南 | 简装 | 低楼层(共12层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,嘉莲华商住酒店式公寓(商业类) 2室1厅 东,150万,2室1厅 | 52平米 | 东 | 其他 | 中楼层(共6层) | 2002年建 | 板楼,
20201223,嘉定,江桥,香馥湾酒店式公寓 1室1厅 南,190万,1室1厅 | 65.01平米 | 南 | 简装 | 中楼层(共11层)  | 塔楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 南房主自荐,118万,1室1厅 | 55平米 | 南 | 其他 | 低楼层(共11层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 北,165万,1室1厅 | 43.08平米 | 北 | 其他 | 中楼层(共9层) | 2011年建 | 板楼,
20201223,嘉定,江桥,江桥万达旁，大两房，都能买无限制，精装修看房随时,148万,2室1厅 | 81.84平米 | 东北 | 其他 | 中楼层(共11层) | 2008年建 | 塔楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 北,210万,1室1厅 | 110.04平米 | 北 | 其他 | 低楼层(共12层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 北,180万,1室1厅 | 94.8平米 | 北 | 其他 | 低楼层(共12层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,MAX未来 2室2厅 南,225万,2室2厅 | 70平米 | 南 | 其他 | 中楼层(共8层) | 2015年建 | 板楼,
20201223,嘉定,江桥,MAX未来 4室2厅 西,175万,4室2厅 | 54.22平米 | 西 | 其他 | 中楼层(共9层) | 2015年建 | 板楼,
20201223,嘉定,江桥,YOHO街区 1室1厅 北,230万,1室1厅 | 48.35平米 | 北 | 其他 | 低楼层(共6层)  | 板楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 东,150万,1室1厅 | 71.44平米 | 东 | 其他 | 中楼层(共12层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,万达广场(嘉定) 2室2厅 南,240万,2室2厅 | 120.13平米 | 南 | 其他 | 中楼层(共12层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,上海电子商城 1房间0卫 40万,40万,1室0厅 | 16.36平米 | 南 | 其他 | 中楼层(共50层) | 2009年建 | 塔楼,
20201223,嘉定,江桥,嘉莲华商住酒店式公寓(商业类) 1室1厅 东房主自荐,100万,1室1厅 | 52平米 | 东 | 其他 | 高楼层(共6层)  | 板楼,
20201223,嘉定,江桥,MAX未来 2室1厅 东,166万,2室1厅 | 50平米 | 东 | 其他 | 中楼层(共8层) | 2015年建 | 板楼,
20201223,嘉定,江桥,江桥老街生活大院 1室1厅 南,120万,1室1厅 | 59平米 | 南 | 其他 | 中楼层(共11层) | 2013年建 | 板塔结合,
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 北,95万,1室1厅 | 43.76平米 | 北 | 其他 | 中楼层(共11层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,MAX未来 2室2厅 西,150万,2室2厅 | 47.9平米 | 西 | 其他 | 中楼层(共9层) | 2015年建 | 板楼,
20201223,嘉定,江桥,嘉莲华商住酒店式公寓(商业类) 1室1厅 西,102万,1室1厅 | 51.22平米 | 西 | 其他 | 低楼层(共6层) | 2007年建 | 板楼,
20201223,嘉定,江桥,万达广场(嘉定) 2室1厅 南,250万,2室1厅 | 116.72平米 | 南 | 其他 | 高楼层(共12层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,MAX未来 4室1厅 北,150万,4室1厅 | 49.5平米 | 北 | 其他 | 低楼层(共9层) | 2015年建 | 板楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室0厅 北,100万,1室0厅 | 46.98平米 | 北 | 其他 | 中楼层(共11层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,YOHO街区 1室1厅 北,95万,1室1厅 | 45平米 | 北 | 精装 | 中楼层(共6层)  | 板楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 南,128万,1室1厅 | 55.54平米 | 南 | 精装 | 高楼层(共11层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,MAX未来 1室1厅 西,140万,1室1厅 | 47.5平米 | 西 | 精装 | 高楼层(共9层) | 2015年建 | 板楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 北,175万,1室1厅 | 42.52平米 | 北 | 其他 | 低楼层(共9层) | 2011年建 | 板楼,
20201223,嘉定,江桥,MAX未来 1室1厅 南,168万,1室1厅 | 54.22平米 | 南 | 其他 | 中楼层(共9层) | 2015年建 | 板楼,
20201223,嘉定,江桥,MAX未来 2室1厅 北,150万,2室1厅 | 46.48平米 | 北 | 其他 | 中楼层(共8层) | 2015年建 | 板楼,
20201223,嘉定,江桥,适合刚需小年轻，交通便利，配套设施齐全,140万,2室2厅 | 49.31平米 | 北 | 精装 | 高楼层(共9层) | 2015年建 | 板楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 南,115万,1室1厅 | 56.28平米 | 南 | 简装 | 高楼层(共12层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,嘉莲华商住酒店式公寓(商业类) 1室1厅 南,110万,1室1厅 | 55平米 | 南 | 其他 | 高楼层(共6层) | 2007年建 | 板楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 北,98万,1室1厅 | 43.69平米 | 北 | 其他 | 中楼层(共11层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 南,120万,1室1厅 | 55.54平米 | 南 | 其他 | 低楼层(共11层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,YOHO街区 1室1厅 北,175万,1室1厅 | 52.52平米 | 北 | 其他 | 低楼层(共6层) | 2014年建 | 板楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 南,118万,1室1厅 | 55.54平米 | 南 | 其他 | 低楼层(共11层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,永和生活广场 1室1厅 北,93万,1室1厅 | 56.48平米 | 北 | 其他 | 高楼层(共11层) | 2008年建 | 塔楼,
20201223,嘉定,江桥,永和生活广场 1室1厅 北,95万,1室1厅 | 56.48平米 | 北 | 其他 | 中楼层(共11层) | 2008年建 | 塔楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 北,95万,1室1厅 | 44.2平米 | 北 | 精装 | 高楼层(共12层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,近地铁，随时可看，诚意出售，楼层好位置好，视野开阔,240万,1室1厅 | 68.16平米 | 南 东 | 简装 | 高楼层(共9层) | 2011年建 | 板楼,
20201223,嘉定,江桥,万达广场(嘉定) 2室1厅 南,190万,2室1厅 | 51.99平米 | 南 | 其他 | 高楼层(共9层) | 2011年建 | 板楼,
20201223,嘉定,江桥,万达广场(嘉定) 2室1厅 南,190万,2室1厅 | 51.99平米 | 南 | 其他 | 高楼层(共9层) | 2011年建 | 板楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 南,128万,1室1厅 | 54.61平米 | 南 | 其他 | 高楼层(共12层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 东,198万,1室1厅 | 92.71平米 | 东 | 其他 | 低楼层(共12层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室1厅 北,200万,1室1厅 | 97.93平米 | 北 | 其他 | 中楼层(共12层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,MAX未来 1室1厅 南,135万,1室1厅 | 53.81平米 | 南 | 其他 | 高楼层(共9层) | 2015年建 | 板楼,
20201223,嘉定,江桥,MAX未来 2室1厅 东,160万,2室1厅 | 54平米 | 东 | 简装 | 中楼层(共9层) | 2015年建 | 板楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室0厅 南,165万,1室0厅 | 55.54平米 | 南 | 其他 | 高楼层(共11层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,万达广场(嘉定) 1室0厅 南,165万,1室0厅 | 55.54平米 | 南 | 其他 | 高楼层(共11层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,万达广场(嘉定) 2室1厅 南,165万,2室1厅 | 55.54平米 | 南 | 其他 | 高楼层(共11层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,全明户型，采光好，近地铁，出行方便,130万,0室0厅 | 57.45平米 | 南 | 其他 | 中楼层(共12层) | 2011年建 | 塔楼,
20201223,嘉定,江桥,中星海兰苑 3室2厅 南 北,470万,3室2厅 | 123.11平米 | 南 北 | 毛坯 | 低楼层(共11层) | 2008年建 | 板楼,
