20201223,浦东,川沙,妙栏小区两房出售中间楼层有钥匙看房方便必看好房,320万,2室1厅 | 73.39平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pMpUiZ3Pp_1.jpg.296x216.jpg
20201223,浦东,川沙,观澜五三+两房朝南+一梯两户+满五唯一房主自荐,238万,2室1厅 | 64.51平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/65a16f33-90ec-47ab-abca-d6a39c4c4460_1000.jpg.296x216.jpg
20201223,浦东,川沙,一手动迁，税费少，户型方正，靠河位置棒！,166万,1室1厅 | 61.15平米 | 南 | 毛坯 | 低楼层(共6层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/40b8f08a-ee57-4aad-b5da-684501ca5dc7_1000.jpg.296x216.jpg
20201223,浦东,川沙,业主诚意急售,楼层好,小区中间位置,交通便利房主自荐,170万,2室1厅 | 45.82平米 | 南 | 简装 | 高楼层(共5层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_msOuhiNsA_1.jpg.296x216.jpg
20201223,浦东,川沙,2010年商品房 两年婚房精装修 楼层好采光好房主自荐,242万,2室2厅 | 73.27平米 | 南 北 | 精装 | 中楼层(共13层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f206c96f-ed3c-42dd-ac79-df755abf623b_1000.jpg.296x216.jpg
20201223,浦东,川沙,中间楼层+满五唯一无个税+额外两个大阳台+随时看房房主自荐,243万,2室1厅 | 68.89平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CDrJUiMWX_1.jpg.296x216.jpg
20201223,浦东,川沙,天环苑 一房毛坯 中间楼层 业主诚心出售房主自荐,165万,1室1厅 | 55.08平米 | 南 | 毛坯 | 中楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/6886583f-01af-41f8-9684-adbb6c27cece_1000.jpg.296x216.jpg
20201223,浦东,川沙,配套成熟，凌空路地铁2号线，经典户型，南北通采光足房主自荐,173万,1室1厅 | 55.08平米 | 南 北 | 精装 | 中楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e67743c7-df8b-4cf8-bc07-efaca2c5af36_1000.jpg.296x216.jpg
20201223,浦东,川沙,房子诚心出售，好位置，看房随时都可以，毛坯好户型房主自荐,299万,2室2厅 | 96.16平米 | 南 | 简装 | 低楼层(共13层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_n69SYjI3h_1.jpg.296x216.jpg
20201223,浦东,川沙,此房是一手动迁，免征增值税，低楼层，介意慎点房主自荐,390万,3室2厅 | 103.3平米 | 南 | 毛坯 | 低楼层(共15层)  | 板楼,http://image1.ljcdn.com/110000-inspection/66c88381-f30b-4a81-84b2-69d2c4dad38a_1000.jpg.296x216.jpg
20201223,浦东,川沙,绿海2004年中间楼层大两房 南北通透  2号线地铁川沙站,396万,2室2厅 | 97.54平米 | 南 北 | 简装 | 低楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Xj8cVXPhE_1.jpg.296x216.jpg
20201223,浦东,川沙,一手动迁税低 看房有钥匙 南北户型 安选之家房主自荐,270万,3室2厅 | 112平米 | 南 | 毛坯 | 高楼层(共6层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_M87o6nLCx_1.jpg.296x216.jpg
20201223,浦东,川沙,09年电梯商品房 南北通透户型好 诚心出售看房方便,435万,2室2厅 | 91.69平米 | 南 北 | 简装 | 低楼层(共11层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LMOg4F1Fx_1.jpg.296x216.jpg
20201223,浦东,川沙,此房楼层好，户型好，得房率高，配小车库和固定车位房主自荐,450万,3室1厅 | 108.48平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TMZLATwrl_1.jpg.296x216.jpg
20201223,浦东,川沙,五 三 川沙地铁站旁 满5年 有钥匙房主自荐,260万,2室1厅 | 83.37平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ht1RbfTpE_1.jpg.296x216.jpg
20201223,浦东,川沙,沙田公寓 95年商品房 双南户型 一楼带大院子 诚售,260万,2室2厅 | 71.02平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-b6671404-fee4-4013-989e-926089fae866.png.296x216.jpg
20201223,浦东,川沙,天环苑 小区中间位置 一手动迁 业主诚心出售房主自荐,148万,1室1厅 | 49平米 | 南 | 简装 | 低楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/adb033f4-8e37-40a2-82e9-d31e5f273191_1000.jpg.296x216.jpg
20201223,浦东,川沙,满五唯一，电梯房，全明户型，江镇唯一的商品房房主自荐,221万,1室1厅 | 66.19平米 | 南 | 毛坯 | 高楼层(共13层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Zjgj45kvg_1.jpg.296x216.jpg
20201223,浦东,川沙,观澜+五三，带院子，南北朝向两房，房东很诚意出售房主自荐,218万,2室1厅 | 59.56平米 | 南 | 简装 | 低楼层(共5层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ukQ5S94vH_1.jpg.296x216.jpg
20201223,浦东,川沙,中间楼层 精装修一房  价格可谈房主自荐,235万,1室1厅 | 54.1平米 | 南 北 | 精装 | 中楼层(共5层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_K5KJt7fva_1.jpg.296x216.jpg
20201223,浦东,川沙,刚需230万 观澜比较近 中间楼层 单价低 小区中间,230万,2室1厅 | 64.92平米 | 南 | 毛坯 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_T7WQl44cq_1.jpg.296x216.jpg
20201223,浦东,川沙,总价低，税费少，户型正气，楼层好，看房方便,200万,2室1厅 | 74平米 | 南 北 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d3384cf0-cf95-4587-8c84-43415fd014c4_1000.jpg.296x216.jpg
20201223,浦东,川沙,观兰，中间楼层，双南户型，房东诚心出售房主自荐,199万,2室1厅 | 47.11平米 | 南 | 精装 | 低楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Ti2MALq5S_1.jpg.296x216.jpg
20201223,浦东,川沙,五三+可谈价+单价总价低+近地铁+全明大两房+方便装修房主自荐,215万,2室2厅 | 65.55平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-1ddd4885-08a1-42e7-8ca0-ab14bd087c00.jpg.296x216.jpg
20201223,浦东,川沙,精装大三房+观澜五三+户型正气+小区央座+拎包入住,600万,3室2厅 | 131.56平米 | 南 北 | 精装 | 中楼层(共11层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/6fdf4aeb-4eb8-430b-8a14-0b006224d029_1000.jpg.296x216.jpg
20201223,浦东,川沙,格局方正，交通便利，使用空间大,楼层好采光好!房主自荐,650万,3室2厅 | 125.97平米 | 南 | 精装 | 高楼层(共6层) | 2009年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_QdkQz12iF_1.jpg.296x216.jpg
20201223,浦东,川沙,09年电梯房+品质小区+满五唯一看房方便,400万,2室2厅 | 91.65平米 | 南 | 精装 | 低楼层(共11层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_E9z3NODSe_1.jpg.296x216.jpg
20201223,浦东,川沙,南北通大花园4房，有钥匙随时可看，户型好采光无影响房主自荐,918万,4室2厅 | 164.53平米 | 南 | 简装 | 低楼层(共8层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_sh8YVcuke_1.jpg.296x216.jpg
20201223,浦东,川沙,精装自住，满五唯一，税费少，位置佳。,300万,3室1厅 | 89.06平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AfPRw7sTl_1.jpg.296x216.jpg
20201223,浦东,川沙,品质小区 满两年 带产权车位 诚意出售,580万,3室2厅 | 111平米 | 南 | 精装 | 低楼层(共20层)  | 板楼,http://image1.ljcdn.com/110000-inspection/968e15fc-4bb9-4dba-9f54-cb21029c3692_1000.jpg.296x216.jpg
20201223,浦东,川沙,阳光城愉景湾高档小区，产权满二年税费少，链家优选房,380万,2室1厅 | 69平米 | 南 | 精装 | 中楼层(共20层) | 2016年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_O14T2qpZH_1.jpg.296x216.jpg
20201223,浦东,川沙,近地铁小两房生活方便 全明户型 中间楼层 总价低,220万,2室1厅 | 56.2平米 | 南 | 简装 | 中楼层(共5层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/5eb1ff1d-ac72-4956-a255-9b08e7b99779_1000.jpg.296x216.jpg
20201223,浦东,川沙,绿海家园属于成熟小区，配套齐全，川沙地铁1公里内房主自荐,260万,2室2厅 | 66.17平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8KJy4LQ13_1.jpg.296x216.jpg
20201223,浦东,川沙,低单价 低总价 观景楼层视野好  采光好房主自荐,450万,3室2厅 | 161.18平米 | 南 | 简装 | 低楼层(共18层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8iU9Xejbe_1.jpg.296x216.jpg
20201223,浦东,川沙,精装修，可谈价，观澜，中间楼层，售后公房无增值税,300万,2室1厅 | 72.4平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_u9x6OLatM_1.jpg.296x216.jpg
20201223,浦东,川沙,观澜，近地铁，精装修，全明户型，满五唯一房主自荐,260万,2室1厅 | 64.74平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ad557ea0-3f3a-45be-b3fd-ead50941acd9_1000.jpg.296x216.jpg
20201223,浦东,川沙,一梯两户，满五唯一，精装修三室，带车位,410万,3室2厅 | 96.65平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qBuapWtv1_1.jpg.296x216.jpg
20201223,浦东,川沙,高楼层景观视野，精装三房带飘窗，户型方正，采光通透,680万,3室2厅 | 111平米 | 南 | 精装 | 中楼层(共20层)  | 板楼,http://image1.ljcdn.com/110000-inspection/7e5a1acd-cbdc-4f49-903a-d5a22a830c61_1000.jpg.296x216.jpg
20201223,浦东,川沙,满五唯一 带大阁楼  一梯两户 居住适宜,480万,3室1厅 | 107.48平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_G3VD8T9Cc_1.jpg.296x216.jpg
20201223,浦东,川沙,高区大三房，精装修，中间位置，户型方正,450万,3室2厅 | 120.46平米 | 南 | 精装 | 高楼层(共13层) | 2010年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-0a6e50d4-cde8-4083-ae54-298c0ff92365.png.296x216.jpg
20201223,浦东,川沙,户型正气 两房朝南 大两房 中间楼层房主自荐,235万,2室1厅 | 65.41平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bDF5tNmtL_1.jpg.296x216.jpg
20201223,浦东,川沙,三房，户型方正，价格可谈，没有增值税，没有个税房主自荐,275万,3室1厅 | 82.51平米 | 南 | 简装 | 高楼层(共5层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_r60FciW1N_1.jpg.296x216.jpg
20201223,浦东,川沙,顶楼带露台，位置安静，诚意出售房主自荐,408万,4室2厅 | 108平米 | 南 北 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-b6df0419-8acd-4f10-a0c4-a794f19a3704.jpg.296x216.jpg
20201223,浦东,川沙,2014年新小区多层住宅总高6楼，本房4楼业主诚意出售房主自荐,279万,3室2厅 | 111平米 | 南 | 毛坯 | 中楼层(共6层) | 2014年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-976c7ec7-c955-496b-80cf-40ab40ad80ec.jpg.296x216.jpg
20201223,浦东,川沙,新德佳苑自住装修 采光充足 交通出行便利 配套丰富房主自荐,246万,2室1厅 | 55.74平米 | 南 | 精装 | 低楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-639e20e4-65a4-47bd-b89a-531605fc7ad8.jpg.296x216.jpg
20201223,浦东,川沙,2014年小区，户型好，小区非靠路位置，精装修带阁楼房主自荐,295万,3室2厅 | 111.53平米 | 南 | 精装 | 高楼层(共6层) | 2014年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_lX3srNJ0V_1.jpg.296x216.jpg
20201223,浦东,川沙,近地铁川沙站 两房朝南 采光好 满5年 有钥匙,215万,2室1厅 | 60.6平米 | 南 | 简装 | 中楼层(共5层) | 1981年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_H8dMEBmST_1.jpg.296x216.jpg
20201223,浦东,川沙,江绣苑低楼层小户型 独门独户诚心出售房主自荐,152万,1室1厅 | 57平米 | 南 | 毛坯 | 低楼层(共6层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lncT3odW2_1.jpg.296x216.jpg
20201223,浦东,川沙,低总价，房东诚意出售，价格可谈,189万,2室1厅 | 49.98平米 | 南 北 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0fskeEPXv_1.jpg.296x216.jpg
20201223,浦东,川沙,满五不唯一，刚需一房楼层高户型好，采光好，楼层敞亮,232万,1室1厅 | 73.27平米 | 南 | 毛坯 | 低楼层(共13层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0AKZIbuya_1.jpg.296x216.jpg
20201223,浦东,川沙,川沙地铁口，装修现代化，诚意出售，楼层好采光好房主自荐,199万,2室1厅 | 50.7平米 | 南 | 精装 | 高楼层(共5层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/3421cc00-3811-462b-9a2f-a5666f3c117d_1000.jpg.296x216.jpg
20201223,浦东,川沙,采光充足，小区环境好，诚心出售，刚需小户型房主自荐,222万,2室1厅 | 66.17平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Vf5vFlSy9_1.jpg.296x216.jpg
20201223,浦东,川沙,观澜，低总价，采光充足，交通便利，诚意出售,188万,2室1厅 | 47.3平米 | 南 | 简装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b965b3f1-4f57-498d-822e-cf9c7b9dbd7a_1000.jpg.296x216.jpg
20201223,浦东,川沙,海霞新苑 一房 56平 诚心出售 看房方便房主自荐,160万,1室1厅 | 56.97平米 | 南 | 毛坯 | 低楼层(共6层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b8c6172a-471a-44a0-a5bb-93f8c3e0b2de_1000.jpg.296x216.jpg
20201223,浦东,川沙,总价低的一套，户型正气 小区中间 欢迎实地看房,165万,1室1厅 | 41.83平米 | 南 | 毛坯 | 低楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zPo8Zqc8i_1.jpg.296x216.jpg
20201223,浦东,川沙,110平精装三房 阔野高层 房龄新04年 诚心出售随时可看,430万,3室2厅 | 110.32平米 | 南 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-626220f2-7225-4958-a86e-298fd5b24fdf.jpg.296x216.jpg
20201223,浦东,川沙,此房满五，格局，视野宽阔，采光充足，诚意出售,405万,2室2厅 | 93平米 | 南 | 简装 | 中楼层(共11层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/00b213ed-d58f-42be-8b3a-63345bb17cca_1000.jpg.296x216.jpg
20201223,浦东,川沙,采光不错，房型舒适，配套齐全，南北通前无遮挡房主自荐,285万,3室1厅 | 107.39平米 | 南 | 精装 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_r6nEmbSdw_1.jpg.296x216.jpg
20201223,浦东,川沙,高档社区品质高，南北通双阳台，采光充足，商品房房主自荐,285万,2室2厅 | 93.12平米 | 南 | 精装 | 低楼层(共13层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mdPV8Z4pO_1.jpg.296x216.jpg
20201223,浦东,川沙,满五不唯一，小两房楼层高户型好，采光好，楼层敞亮,242万,2室1厅 | 73.71平米 | 南 | 精装 | 高楼层(共12层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/85d65cf5-99b8-4782-a621-a95ec0eab941_1000.jpg.296x216.jpg
20201223,浦东,川沙,绿海家园精装3房另带储藏室  满五唯一房主自荐,295万,3室1厅 | 89.03平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NRBEsqnqC_1.jpg.296x216.jpg
20201223,浦东,川沙,绿海2004年三房 满五唯一 地铁2号线川沙站房主自荐,430万,3室2厅 | 110平米 | 南 北 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1ff359c7-b705-4060-8c6f-56b976c2720f_1000.jpg.296x216.jpg
20201223,浦东,川沙,2004年精装商品房 卧室双静音门+地暖 出行方便 地铁近房主自荐,510万,3室2厅 | 135.8平米 | 南 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HBlQUXbNM_1.jpg.296x216.jpg
20201223,浦东,川沙,两房朝南 户型正气 满五年不唯一 采光无遮挡,360万,2室2厅 | 78.57平米 | 南 | 简装 | 低楼层(共15层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_etl9wl43v_1.jpg.296x216.jpg
20201223,浦东,川沙,鑫龙佳苑 2室1厅 南,350万,2室1厅 | 90.93平米 | 南 | 其他 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d2d5eaed-6da7-402c-90b5-51ff55f0ba57_1000.jpg.296x216.jpg
20201223,浦东,川沙,房子非底楼，毛坯，总价低采光好，诚意出售看房随时,283万,3室2厅 | 111平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,http://image1.ljcdn.com/110000-inspection/b17af245-20cf-4421-aa17-1c3f9a031168_1000.jpg.296x216.jpg
20201223,浦东,川沙,曙航苑 优质房源出售  三房朝南 拎包入住 满五唯一房主自荐,438万,3室2厅 | 125.42平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pFMzw4KsN_1.jpg.296x216.jpg
20201223,浦东,川沙,次新房出售，小区环境好，中间楼层，视野好,290万,3室2厅 | 111.53平米 | 南 | 简装 | 中楼层(共6层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/800b3af7-83f1-45bb-817e-2daac9a2aae4_1000.jpg.296x216.jpg
20201223,浦东,川沙,此房装修保养的还不错，3开间朝南，采光好,295万,3室1厅 | 89.03平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/442c06c3-6b16-47ff-a4b0-36cb8638b3e8_1000.jpg.296x216.jpg
20201223,浦东,川沙,天和精装三房，少有的高楼层，位置好,425万,3室2厅 | 129.12平米 | 南 | 精装 | 中楼层(共13层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LjgQjYOcy_1.jpg.296x216.jpg
20201223,浦东,川沙,天和湖滨家园 沿河景观房 两房两厅 精装修 满五唯一,335万,2室2厅 | 93.12平米 | 南 | 精装 | 低楼层(共13层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/cfc12a56-31c8-4b26-a45c-1ed24f4d67b3_1000.jpg.296x216.jpg
20201223,浦东,川沙,2010年商品房，电梯景观楼层，房东自住装修，随时看房房主自荐,345万,2室2厅 | 96.26平米 | 南 北 | 精装 | 高楼层(共13层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FQHnYf0mv_1.jpg.296x216.jpg
20201223,浦东,川沙,2010年商品房，大三房中间楼层，采光好户型棒，诚心卖房主自荐,418万,3室2厅 | 121.18平米 | 南 | 毛坯 | 中楼层(共12层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rZYu2CoUq_1.jpg.296x216.jpg
20201223,浦东,川沙,大平层，南北通，四开间朝南，户型正，次顶楼，位置好,650万,4室2厅 | 162.31平米 | 南 | 精装 | 高楼层(共13层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yEfgXHDwv_1.jpg.296x216.jpg
20201223,浦东,川沙,此房高楼层，户型方正，南北通户型，小区位置好房主自荐,240万,2室2厅 | 92.55平米 | 南 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4f5fa1ff-8a25-48bd-9031-c186cd4e7abe_1000.jpg.296x216.jpg
20201223,浦东,川沙,此房两房朝南一房朝北，边套全明，楼层佳，原始户型房主自荐,449万,3室2厅 | 111.1平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2aa39c83-f3cc-4421-a0e2-dba5f8a369b7_1000.jpg.296x216.jpg
20201223,浦东,川沙,绿海家园 3室1厅 南房主自荐,430万,3室1厅 | 115.4平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Is6uy5sho_1.jpg.296x216.jpg
20201223,浦东,川沙,观 澜 五 三 近川沙地铁站旁 满5年 看房随时,218万,2室1厅 | 56.24平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/cdaaf1b7-eaad-4e63-9fe5-b81236d10d89_1000.jpg.296x216.jpg
20201223,浦东,川沙,鼎鑫地下复式房，空间大精装修。位置好不靠路采光足房主自荐,440万,2室2厅 | 152.33平米 | 南 | 精装 | 低楼层(共11层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/fa97fa4b-737f-4d19-a818-a51e7b3f076b_1000.jpg.296x216.jpg
20201223,浦东,川沙,此房满五 户型正 单价低  采光好 业主诚心出售房主自荐,260万,2室1厅 | 83.37平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c5ea8c2d-2cfd-4433-8200-41d08620fb53_1000.jpg.296x216.jpg
20201223,浦东,川沙,15年品质小区 人车分流 小区绿化好 自住率高,470万,3室2厅 | 91平米 | 南 | 精装 | 低楼层(共20层)  | 板楼,http://image1.ljcdn.com/110000-inspection/3e67c8ed-f368-4f44-97d9-3fe6325d8c06_1000.jpg.296x216.jpg
20201223,浦东,川沙,两方朝南，采光充足，配套成熟，交通方便房主自荐,315万,2室1厅 | 94.9平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-aa6e2a10-f79f-4144-826e-ef9b5daf8413.jpg.296x216.jpg
20201223,浦东,川沙,高档社区商品房，本房南北通，无遮挡，视野好房主自荐,308万,2室2厅 | 97.73平米 | 南 北 | 精装 | 低楼层(共13层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1kTqhYae9_1.jpg.296x216.jpg
20201223,浦东,川沙,210年新商品房 一房改两房 精装修总价低房主自荐,233万,2室1厅 | 73.27平米 | 南 | 精装 | 低楼层(共13层) | 2010年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-73d4bdea-7bd4-4121-8d22-7eb9dc002a5d.jpg.296x216.jpg
20201223,浦东,川沙,次新小区二手买进毛坯，随时可看，采光好带飘窗,218万,2室2厅 | 83.21平米 | 南 | 毛坯 | 高楼层(共6层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7976ebc9-9f63-4fc3-acde-b51c169c4450_1000.jpg.296x216.jpg
20201223,浦东,川沙,小面积、低总价、两房朝南、得房率高,192万,2室1厅 | 49.98平米 | 南 | 简装 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_ivvtVahl3_1.jpg.296x216.jpg
20201223,浦东,川沙,此房满五唯一，税少，采光好，交通生活方便。房主自荐,228万,2室1厅 | 65.5平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2DVb4Ug02_1.jpg.296x216.jpg
20201223,浦东,川沙,观 澜 双南格局 视野宽阔，采光充足，配套设施成熟..,228万,1室1厅 | 73.12平米 | 东北 | 简装 | 高楼层(共18层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XTNXfgLyZ_1.jpg.296x216.jpg
20201223,浦东,川沙,老观澜，业主自住，边套，诚意出售，看房方便房主自荐,188万,1室1厅 | 49.7平米 | 南 | 简装 | 高楼层(共5层) | 1977年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0aPX4DHe7_1.jpg.296x216.jpg
20201223,浦东,川沙,近地铁，大三房，中间楼层，适合一家人居住，诚意出售房主自荐,280万,3室1厅 | 77.32平米 | 南 | 简装 | 中楼层(共5层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4GG7LmlGs_1.jpg.296x216.jpg
20201223,浦东,川沙,满五唯一，自住精装修，拎包入住，诚意出售，采光好房主自荐,240万,2室1厅 | 68.75平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YrrJGepMM.jpg.296x216.jpg
20201223,浦东,川沙,房东诚意出售，位置好，交通便利，房主自荐,322万,2室1厅 | 80.51平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vjhnH2J2N_1.jpg.296x216.jpg
20201223,浦东,川沙,户型正气，产权清晰，业主诚意出售。,245万,2室1厅 | 73.1平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1bce8bad-af7f-4eff-b7da-1012e37d2645_1000.jpg.296x216.jpg
20201223,浦东,川沙,中间楼层 93年老精装 临河而建房主自荐,250万,2室1厅 | 65.67平米 | 东 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_X03SsbRQm_1.jpg.296x216.jpg
20201223,浦东,川沙,满五唯一+中间楼层 + 精装修+户型正+单价总价双低房主自荐,250万,2室1厅 | 74.21平米 | 东 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d6e443dd-0455-445b-8d7d-59d896924bd1_1000.jpg.296x216.jpg
20201223,浦东,川沙,满五年唯一，房子保养的很好，诚意出售,218万,2室1厅 | 60.33平米 | 南 | 简装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PZPSlJ3au_1.jpg.296x216.jpg
20201223,浦东,川沙,观澜 楼层好装修好小区位置,交通便利,202万,2室1厅 | 45.82平米 | 南 | 简装 | 中楼层(共5层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Q4xIybTMq_1.jpg.296x216.jpg
