20201223,杨浦,中原,店长推荐独栋全明户型，配套齐全必看好房,317万,2室1厅 | 60.84平米 | 东南 | 精装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/3ce7afd1-058d-4ed5-9cb8-85faeadd665f_1000.jpg.296x216.jpg
20201223,杨浦,中原,总价低+单价低+小区环境好+正规两房+采光充足无遮挡房主自荐,253万,2室1厅 | 50.41平米 | 南 | 简装 | 高楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_J4SKoPbAh_1.jpg.296x216.jpg
20201223,杨浦,中原,地铁口厅房同宽满五年唯一缴税费少厨卫全明视野开阔,205万,1室1厅 | 38.06平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7e2c6f44-4b75-4d99-a91e-c3c05dea1a6f_1000.jpg.296x216.jpg
20201223,杨浦,中原,市光二村 1室1厅 南,225万,1室1厅 | 41.5平米 | 南 | 精装 | 低楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/817bfa31-25e9-4166-a4cb-c96b90a9f8b4_1000.jpg.296x216.jpg
20201223,杨浦,中原,中装，满五唯一，税费少，厅房同宽，近地铁8号线,193万,1室1厅 | 42.08平米 | 南 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_A2DnPYOuC_2.jpg.296x216.jpg
20201223,杨浦,中原,一房一厅 厅房同宽  地铁口 可拎包入住,215万,1室1厅 | 42.06平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d5a45048-1924-4fd9-9290-ea1c4732cd8c_1000.jpg.296x216.jpg
20201223,杨浦,中原,双南两房 满五唯一 南北通 诚意卖,470万,2室1厅 | 72.93平米 | 南 | 简装 | 低楼层(共17层) | 2003年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-56d3d66e-474e-4c36-9832-7227ca4e4bc4.jpg.296x216.jpg
20201223,杨浦,中原,店长推荐，房东诚心出售，无贷款，无抵押，产权清晰。,243万,1室1厅 | 49.6平米 | 南 | 毛坯 | 低楼层(共34层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_h6SI2DjRz_1.jpg.296x216.jpg
20201223,杨浦,中原,精装修非顶楼 距离步行嫩江站口 产权清晰房东急卖,235万,1室1厅 | 43.17平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_z0ExRXhXN_1.jpg.296x216.jpg
20201223,杨浦,中原,2020全新装修，拎包入住，采光充足，安静，朝南，六一,245万,1室1厅 | 45.26平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/03454576-a497-4bbe-ae45-d77be77e3a0b_1000.jpg.296x216.jpg
20201223,杨浦,中原,全明户型小区位置好，闹中取静，仅靠地铁8M，欧尚,340万,2室1厅 | 59.48平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YBjJ7S480_1.jpg.296x216.jpg
20201223,杨浦,中原,满五年唯一 税少 厅房同款 业主诚意,225万,1室1厅 | 43.23平米 | 南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-0682bf84-e35d-4c43-bc6b-0b194beaa51f.jpg.296x216.jpg
20201223,杨浦,中原,电梯房，三房，价格好谈，看房方便,370万,2室2厅 | 83.83平米 | 南 | 简装 | 低楼层(共13层) | 1995年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/pc1_fosDQB8XP_1.jpg.296x216.jpg
20201223,杨浦,中原,精装修+满五唯一+诚意出售+出门欧尚,220万,1室0厅 | 39.96平米 | 南 | 精装 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bf0BLHH1F_1.jpg.296x216.jpg
20201223,杨浦,中原,此房满五唯一无个税，楼层佳采光好，视野开阔,215万,1室1厅 | 38.06平米 | 南 | 简装 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/5fa8f2a2-d369-4f07-b088-8d84bba675f7_1000.jpg.296x216.jpg
20201223,杨浦,中原,南北全明俩房，地铁200米的标准通勤房，客厅带明窗房主自荐,335万,2室1厅 | 54.72平米 | 南 北 | 简装 | 低楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/53a14fc1-dd12-494b-908a-c1276eb35dd8_1000.jpg.296x216.jpg
20201223,杨浦,中原,满五年唯一，南北两房带大天井，采光好,325万,2室1厅 | 56.38平米 | 南 北 | 简装 | 低楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3W9UxvPfT_1.jpg.296x216.jpg
20201223,杨浦,中原,近地铁 全明户型 采光好 装修优 价格美丽,435万,3室1厅 | 84.87平米 | 西南 | 精装 | 高楼层(共18层) | 1991年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/01207fd9-e68a-42fc-b2c3-7435dcf25c82_1000.jpg.296x216.jpg
20201223,杨浦,中原,民京路837弄 1室1厅 南,190万,1室1厅 | 43平米 | 南 | 简装 | 高楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/6e6ce35f-4adb-4cfc-ad5b-d9cf558aac69_1000.jpg.296x216.jpg
20201223,杨浦,中原,近地铁，双南户型，采光无遮挡，诚心出售,328万,2室1厅 | 60.97平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/3592de40-10bf-432c-a184-87a341be3db4_1000.jpg.296x216.jpg
20201223,杨浦,中原,满五年唯一 精装两居室 拎包入住 南北通透 诚意出售房主自荐,334万,2室1厅 | 57.6平米 | 南 北 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_hYlOmx3il_1.jpg.296x216.jpg
20201223,杨浦,中原,经典朝南一室半户型，厨卫朝北，通风全明 看房方便房主自荐,210万,1室1厅 | 43.2平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_W8KYBhoNS.jpg.296x216.jpg
20201223,杨浦,中原,非顶楼 经典户型 采光充足 视野开阔 配套齐全房主自荐,193万,1室1厅 | 36.36平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_vsYKOdVao_1.jpg.296x216.jpg
20201223,杨浦,中原,开鲁二村 + 满五唯一 + 全明户型,293万,2室1厅 | 61.83平米 | 西南 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d1e366dc-68a9-46c6-87ea-64ad36af8116_1000.jpg.296x216.jpg
20201223,杨浦,中原,南北通，不潮，采光无遮挡，拎包入住,205万,1室1厅 | 44.55平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e3b6426e-dfba-4859-85e4-f1a3a615456d_1000.jpg.296x216.jpg
20201223,杨浦,中原,开鲁五村品字型2房1厅+全明精装修，一定适合你！！！房主自荐,330万,2室1厅 | 59.28平米 | 南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_I4k383FcL_1.jpg.296x216.jpg
20201223,杨浦,中原,高楼层   单价低  南北两房房主自荐,345万,2室2厅 | 72.1平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/3f3ae128-c500-44ff-b335-d2aa25ba89df_1000.jpg.296x216.jpg
20201223,杨浦,中原,全明采光通风好，近地铁出行方便，满五唯一，税费少，,220万,1室1厅 | 42.08平米 | 南 | 简装 | 低楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KIFmiJBYL_1.jpg.296x216.jpg
20201223,杨浦,中原,高区房视野开阔，电梯房精装修，看房方便，交通便利房主自荐,365万,2室1厅 | 66.38平米 | 东南 | 精装 | 高楼层(共18层) | 1993年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_eJJIVN3ky_1.jpg.296x216.jpg
20201223,杨浦,中原,05年小区，总高三层小洋房，中原少数飞机户型，低楼层,390万,2室0厅 | 69.67平米 | 南 | 精装 | 低楼层(共3层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1f141642-8219-4277-9c4b-5fc861ab97be_1000.jpg.296x216.jpg
20201223,杨浦,中原,南北两房，大面积好楼层，配套完善。,320万,2室1厅 | 60.45平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2Hhl6zNy1_1.jpg.296x216.jpg
20201223,杨浦,中原,中原路99弄 1室1厅 南,237万,1室1厅 | 38.16平米 | 南 | 简装 | 低楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/67e1d0e8-9dff-473b-bd98-4394a169627b_1000.jpg.296x216.jpg
20201223,杨浦,中原,一梯三户 满五年唯一，厅房同宽，视野宽广，采光充足,190万,1室1厅 | 43.43平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/58505d2b-7a71-4b34-9ccf-a22ecb1610e5_1000.jpg.296x216.jpg
20201223,杨浦,中原,近地铁市光站，无遮挡视野开阔，采光棒，低税费房主自荐,185万,1室1厅 | 41.49平米 | 南 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b8187e3e-a94e-430e-8721-57292d50ff89_1000.jpg.296x216.jpg
20201223,杨浦,中原,税费少，非顶楼，单价低，户型方正，诚意出售,380万,2室1厅 | 84.11平米 | 东 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1e1be2f7-ab22-44cd-8a7d-62b6048603a1_1000.jpg.296x216.jpg
20201223,杨浦,中原,精装修南北两房，高区通风好，光线无遮挡，满五唯一,305万,2室1厅 | 60.96平米 | 南 北 | 精装 | 高楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/59e495de-ad24-40f8-9514-412256f7da5a_1000.jpg.296x216.jpg
20201223,杨浦,中原,1梯2户 南北两居室户型 房型正气 满五年唯一 售后公房,508万,2室1厅 | 77.57平米 | 南 | 简装 | 低楼层(共7层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dpYwnMafn_1.jpg.296x216.jpg
20201223,杨浦,中原,西边套全明南北俩房，房子业主精心改造，带一大厅房主自荐,245万,2室1厅 | 49平米 | 南 | 精装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_m0IdHKwY4.jpg.296x216.jpg
20201223,杨浦,中原,工农三村  独栋错层 一梯两户  全明 满五唯一,220万,1室1厅 | 42.67平米 | 南 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iQ9CrnkzS_1.jpg.296x216.jpg
20201223,杨浦,中原,南北小两室+一梯两户+全明户型+随时可看+业主诚售,271万,2室1厅 | 49.09平米 | 南 北 | 简装 | 中楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/34a446ad-cb1e-4eaf-bc77-2dac3dbec8c1_1000.jpg.296x216.jpg
20201223,杨浦,中原,此房满五唯一，厨卫全明，采光充足，小区近地铁,284万,2室1厅 | 59.26平米 | 东 南 北 | 毛坯 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/70b309de-1d3d-4250-be18-572bd3c885a6_1000.jpg.296x216.jpg
20201223,杨浦,中原,精装 中楼层 看房方便 拎包入住 近中原位置 户型好,232万,1室1厅 | 41.2平米 | 南 | 精装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/55b6ff07-9bca-4c36-b320-4a682af5c15c_1000.jpg.296x216.jpg
20201223,杨浦,中原,精装修，一室一厅，楼层好，交通便利。,230万,1室1厅 | 40.7平米 | 南 | 精装 | 中楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/eb094b2d-8fea-4fe0-a6ef-77943834cc75_1000.jpg.296x216.jpg
20201223,杨浦,中原,满五唯一 精装 楼层nice 诚意出售,260万,1室1厅 | 55.11平米 | 南 北 | 简装 | 中楼层(共5层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Wl4VJq9Z0_1.jpg.296x216.jpg
20201223,杨浦,中原,地铁8号线，客厅带窗，售后公房，诚意出售房主自荐,262万,2室1厅 | 55.72平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c56cd36b-664f-4eaf-85ad-57b8cf84b0dd_1000.jpg.296x216.jpg
20201223,杨浦,中原,满两年，精装修，美丽家园，业主诚意出售,215万,1室1厅 | 41.49平米 | 南 | 精装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c62a56da-ea5f-49ad-ba88-cf866cca1415_1000.jpg.296x216.jpg
20201223,杨浦,中原,此房满五年唯一  产权清晰，  诚意出售 采光好房主自荐,334万,2室1厅 | 59平米 | 南 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/5b721b41-ccf5-4c2a-83b1-baf50a3b2d66_1000.jpg.296x216.jpg
20201223,杨浦,中原,满五唯一东边套，南北通格局，近地铁房主自荐,206万,1室1厅 | 42.66平米 | 南 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XZUHl9tix_1.jpg.296x216.jpg
20201223,杨浦,中原,南北户型  诚意出售 看房方便 采光充足,242万,1室1厅 | 45.26平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pAzCg6tro.jpg.296x216.jpg
20201223,杨浦,中原,满五唯一 通透格局 厨卫朝北 采光无遮挡 看房方便房主自荐,280万,2室1厅 | 54.03平米 | 南 北 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wxDw04pZ0_1.jpg.296x216.jpg
20201223,杨浦,中原,电梯房 朝南 产权清晰 精装修,400万,2室1厅 | 73.73平米 | 南 | 简装 | 高楼层(共13层) | 1995年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_ZgbyxvulG_1.jpg.296x216.jpg
20201223,杨浦,中原,美丽家园小区，平改坡已做好，精装修房主自荐,285万,2室1厅 | 54.03平米 | 南 北 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ODKJ4ZusQ_1.jpg.296x216.jpg
20201223,杨浦,中原,市光四村 朝南大一房  地铁口 满五唯一房主自荐,202万,1室1厅 | 41平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2771d307-8d8d-478a-b8d4-3279b339862f_1000.jpg.296x216.jpg
20201223,杨浦,中原,满五年唯一 产权清晰  全明户型  诚意出售房主自荐,438万,2室1厅 | 85平米 | 南 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_882EtlI3j_1.jpg.296x216.jpg
20201223,杨浦,中原,市光三村 1室1厅 南,195万,1室1厅 | 43.17平米 | 南 | 毛坯 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/cd59fb97-529b-4af2-8fab-6c0d448871c5_1000.jpg.296x216.jpg
20201223,杨浦,中原,精装修，一梯三户，业主诚意出售,215万,1室1厅 | 37.75平米 | 南 | 精装 | 中楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/df51085b-e505-4f82-b012-e1134e6b513b_1000.jpg.296x216.jpg
20201223,杨浦,中原,产权清晰  业主诚心 出售 看房方便,278万,2室1厅 | 58.97平米 | 南 北 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/241a22c7-3f95-4036-a4bb-ee7118ffbd58_1000.jpg.296x216.jpg
20201223,杨浦,中原,精装西边套全明，一梯三户，满五唯一税费少,350万,2室1厅 | 61.26平米 | 南 北 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/3fabd911-ce9b-4e30-b0cf-a611fcbb11c3_1000.jpg.296x216.jpg
20201223,杨浦,中原,中间楼层，近地铁8号线，业主诚意出售房主自荐,220万,1室1厅 | 41.58平米 | 南 | 毛坯 | 中楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/58429033-61e8-478d-b406-ce8bbd0821de_1000.jpg.296x216.jpg
20201223,杨浦,中原,这里温馨的小家，将成为您幸福的起点。房主自荐,323万,2室1厅 | 60.67平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b29e1f22-0316-4b07-87c1-3ddf16b56982_1000.jpg.296x216.jpg
20201223,杨浦,中原,开鲁四村+经典一房+交通便利+美丽家园房主自荐,200万,1室1厅 | 41.49平米 | 南 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/56a40598-843c-40fe-813a-aebf11aef7bf_1000.jpg.296x216.jpg
20201223,杨浦,中原,低总价两房+低税费+板块中间位置+8号线地铁+交通便利,298万,2室1厅 | 56.68平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/cbf14a7e-b138-4305-a72f-0107865dddd5_1000.jpg.296x216.jpg
20201223,杨浦,中原,精装修全明户型  厨卫朝北 看房比较方便 诚心出售,310万,2室1厅 | 54.5平米 | 南 西 | 精装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/cff19686-f43b-42e6-8e8f-acf7535b6e0d_1000.jpg.296x216.jpg
20201223,杨浦,中原,厅房同宽，带大花园，三十而已，您的安居选择,270万,1室1厅 | 45.69平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/3a63d5bb-2c1b-4a74-8aed-a63e85858a48_1000.jpg.296x216.jpg
20201223,杨浦,中原,全明一室半户型，精装修拎包入住，一梯俩户楼道清爽,210万,1室1厅 | 42.66平米 | 南 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/9c7c9b4d-b2ba-4b19-a9bf-75b102478f24_1000.jpg.296x216.jpg
20201223,杨浦,中原,满五唯一，精装修，无遮挡，诚意出售,220万,1室1厅 | 43.79平米 | 南 | 精装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XaRd4ovqd_1.jpg.296x216.jpg
20201223,杨浦,中原,西边套全明两房，全明无遮挡，您想要的安居两室房主自荐,276万,2室1厅 | 51平米 | 南 北 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/5b085af5-f5de-44c7-8d23-d82c894845fd_1000.jpg.296x216.jpg
20201223,杨浦,中原,中原CBD经典小户型 一室一厅 价格实惠,208万,1室1厅 | 39.51平米 | 南 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7b376cba-5445-4291-87c1-dfb55d15b8c0_1000.jpg.296x216.jpg
20201223,杨浦,中原,电梯房精装修+满五唯一+随时可看+小区中间位置+诚售,340万,2室1厅 | 69.43平米 | 南 东 | 简装 | 低楼层(共16层) | 1991年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_r2Nm0o5N1_1.jpg.296x216.jpg
20201223,杨浦,中原,低楼层 近地铁 满五年 税费少 业主诚意出售房主自荐,220万,1室1厅 | 41.58平米 | 南 | 简装 | 低楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/25fa03b9-3e97-4bcb-a754-599b994eac39_1000.jpg.296x216.jpg
20201223,杨浦,中原,此房满五唯一 户型好 采光无遮挡,300万,2室1厅 | 59.26平米 | 西南 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/1eda3139-f4c8-4b4c-839e-066c1d3d4f5d_1000.jpg.296x216.jpg
20201223,杨浦,中原,景观楼层 精装修 双南户型 主卧朝南 客厅朝南,305万,2室1厅 | 55.43平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c97e3da9-11af-4baa-b4cb-828ee1844792_1000.jpg.296x216.jpg
20201223,杨浦,中原,一梯两户 步行200米到地铁站  低总价  采光通风好,288万,2室1厅 | 49.72平米 | 南 | 精装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d0411c45-8650-4128-bcdd-0cb424ddda77_1000.jpg.296x216.jpg
20201223,杨浦,中原,近地铁，厅房同宽，厨卫全明，采光通风好房主自荐,179万,1室1厅 | 40.18平米 | 东 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_13RsHfd7Y_1.jpg.296x216.jpg
20201223,杨浦,中原,诚意出售 全明户型 采光好 看房方便 近地铁,281万,2室1厅 | 52.11平米 | 南 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/81e1127f-7de4-4ae1-ae80-8310410c393b_1000.jpg.296x216.jpg
20201223,杨浦,中原,中原全明小两房，南北通采光好总价低,240万,2室1厅 | 47.2平米 | 南 北 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/5919a044-01a1-4822-bed2-e38d5ce18f57_1000.jpg.296x216.jpg
20201223,杨浦,中原,此房满五唯一，厨卫朝北，通风效果好。业主诚意出售。,202万,1室1厅 | 39.24平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/693b1807-74e0-4067-871c-b45f7ddc90b0_1000.jpg.296x216.jpg
20201223,杨浦,中原,近地铁，菜市场，国和1000，中原城市广场，精装房主自荐,205万,1室1厅 | 41.95平米 | 南 | 精装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d08a693c-3c9e-4af5-be52-73c313479121_1000.jpg.296x216.jpg
20201223,杨浦,中原,准电梯房  双南户型  一梯三户,350万,2室1厅 | 66.4平米 | 南 | 简装 | 高楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/49840e6a-3b6d-48fe-9918-17eaaeed58d2_1000.jpg.296x216.jpg
20201223,杨浦,中原,厨卫朝北，户型方正，南北通风采光好,225万,1室1厅 | 42.39平米 | 南 | 毛坯 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/0068b178-6646-4c71-b6e5-0fe9fc02c221_1000.jpg.296x216.jpg
20201223,杨浦,中原,近长海医院+五角场+杨浦图书馆+配套齐全+诚意出售,238万,1室1厅 | 40.77平米 | 南 | 精装 | 低楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/830c0c7f-d00b-49b9-a9ed-32755864ad26_1000.jpg.296x216.jpg
20201223,杨浦,中原,新出一房 精装修 采光佳 满五唯一 停车方便房主自荐,183万,1室1厅 | 36.64平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_faJSa3sFj_1.jpg.296x216.jpg
20201223,杨浦,中原,，采光充足，通风性好，精装修交付。房主自荐,308万,2室1厅 | 60.3平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/9cd5851a-a42e-4df1-8e4a-161a8f26c421_1000.jpg.296x216.jpg
20201223,杨浦,中原,西边套厨卫全明，厅房同宽精装修，拎包入住房主自荐,178万,1室1厅 | 35.48平米 | 南 | 精装 | 高楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/6d99a891-bba5-4e2e-a1f8-ffccb281b830_1000.jpg.296x216.jpg
20201223,杨浦,中原,精装修拎包入住 近地铁 近欧尚 一房,230万,1室1厅 | 41.7平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/75213dbb-3324-434e-a3dd-603cfb6fbb4f_1000.jpg.296x216.jpg
20201223,杨浦,中原,西边套全明户型，正规一室半，客厅带窗，精装拎包入住房主自荐,218万,1室1厅 | 39.81平米 | 南 | 精装 | 中楼层(共6层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f38879b3-d6fd-422d-b66f-c0537a5b1383_1000.jpg.296x216.jpg
20201223,杨浦,中原,中楼层、精装修、南北通风、满五不唯一，近地铁,313万,1室1厅 | 55.43平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JvKoURZuM_1.jpg.296x216.jpg
20201223,杨浦,中原,精装修三年+南北两房+全明户型+小区美丽家园改造+诚售房主自荐,335万,2室1厅 | 64.7平米 | 南 | 精装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b432eca3-fb6d-417b-afb8-0dbe30346362_1000.jpg.296x216.jpg
20201223,杨浦,中原,高楼层视野好，售后公房，满五唯一,370万,2室1厅 | 62.05平米 | 南 | 毛坯 | 高楼层(共18层) | 1992年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/2ef428cc-339b-4c30-844c-f8e811258ca5_1000.jpg.296x216.jpg
20201223,杨浦,中原,满二唯一，近地铁，户型好，通风佳，配套齐全。房主自荐,210万,1室1厅 | 39.41平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ee7e7bb8-2a22-42e6-b719-f1c1d2ad079e_1000.jpg.296x216.jpg
20201223,杨浦,中原,美丽家园已做好，楼层好.采光充足 全明户型,410万,2室1厅 | 84.74平米 | 南 | 精装 | 中楼层(共16层) | 1991年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_aXJ3aqYGJ_1.jpg.296x216.jpg
20201223,杨浦,中原,非顶楼 厨卫朝北 厅房同宽大一房,250万,1室1厅 | 50.44平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/5165112c-286b-41ae-88cb-0e5d0cd5961a_1000.jpg.296x216.jpg
20201223,杨浦,中原,满五唯一+小区已做美丽家园+业主诚意出售房主自荐,308万,2室1厅 | 64.43平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/212db827-a30b-4b06-b44f-d82a175dc0f8_1000.jpg.296x216.jpg
20201223,杨浦,中原,殷行路571弄 新上房源 得房率高  厅房同宽,215万,1室1厅 | 40.45平米 | 南 | 精装 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/df4d6de8-5d2b-4495-8fd9-eba14d2d52aa_1000.jpg.296x216.jpg
20201223,杨浦,中原,新出两房 满五唯一税费少 边套采光好 业主诚意卖,530万,2室1厅 | 72.93平米 | 南 | 精装 | 低楼层(共17层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/bd80ec98-9f2c-4906-86da-bdaa9790c1fc_1000.jpg.296x216.jpg
